"timestamp","name","symbol","rank","price_btc","price_usd"
"2017-11-21-20-03","Bitcoin","BTC","  1","1.00000000","8.12675e+03"
"2017-11-21-20-03","Ethereum","ETH","  2","0.04440240","3.61538e+02"
"2017-11-21-20-03","Bitcoin Cash","BCH","  3","0.14527100","1.18284e+03"
"2017-11-21-20-03","Ripple","XRP","  4","0.00002866","2.33352e-01"
"2017-11-21-20-03","Dash","DASH","  5","0.06127300","4.98903e+02"
"2017-11-21-20-03","Litecoin","LTC","  6","0.00863902","7.03415e+01"
"2017-11-21-20-03","IOTA","MIOTA","  7","0.00011163","9.08941e-01"
"2017-11-21-20-03","NEO","NEO","  8","0.00427168","3.47813e+01"
"2017-11-21-20-03","Monero","XMR","  9","0.01752360","1.42683e+02"
"2017-11-21-20-03","NEM","XEM"," 10","0.00002513","2.04613e-01"
"2017-11-21-20-03","Ethereum Classic","ETC"," 11","0.00219320","1.78577e+01"
"2017-11-21-20-03","Lisk","LSK"," 12","0.00119383","9.72050e+00"
"2017-11-21-20-03","Qtum","QTUM"," 13","0.00173613","1.41361e+01"
"2017-11-21-20-03","EOS","EOS"," 14","0.00024277","1.97673e+00"
"2017-11-21-20-03","OmiseGO","OMG"," 15","0.00094639","7.70579e+00"
"2017-11-21-20-03","Zcash","ZEC"," 16","0.03580620","2.91544e+02"
"2017-11-21-20-03","Cardano","ADA"," 17","0.00000350","2.84980e-02"
"2017-11-21-20-03","Hshare","HSR"," 18","0.00214021","1.74262e+01"
"2017-11-21-20-03","Stellar Lumens","XLM"," 19","0.00000466","3.79240e-02"
"2017-11-21-20-03","Tether","USDT"," 20","0.00012217","9.94780e-01"
"2017-11-21-20-03","BitConnect","BCC"," 21","0.03633700","2.95867e+02"
"2017-11-21-20-03","Waves","WAVES"," 22","0.00064406","5.24415e+00"
"2017-11-21-20-03","Populous","PPT"," 23","0.00122132","9.94432e+00"
"2017-11-21-20-03","BitShares","BTS"," 24","0.00001727","1.40606e-01"
"2017-11-21-20-03","Stratis","STRAT"," 25","0.00043089","3.50841e+00"
"2017-11-21-20-03","Ark","ARK"," 26","0.00037515","3.05459e+00"
"2017-11-21-20-03","Ardor","ARDR"," 27","0.00003570","2.90700e-01"
"2017-11-21-20-03","Komodo","KMD"," 28","0.00029838","2.42948e+00"
"2017-11-21-20-03","Bytecoin","BCN"," 29","0.00000016","1.30870e-03"
"2017-11-21-20-03","Augur","REP"," 30","0.00261247","2.12715e+01"
"2017-11-21-20-03","Steem","STEEM"," 31","0.00011549","9.40365e-01"
"2017-11-21-20-03","Power Ledger","POWR"," 32","0.00007805","6.35476e-01"
"2017-11-21-20-03","Decred","DCR"," 33","0.00418542","3.40789e+01"
"2017-11-21-20-03","TenX","PAY"," 34","0.00022891","1.86388e+00"
"2017-11-21-20-03","MaidSafeCoin","MAID"," 35","0.00005124","4.17207e-01"
"2017-11-21-20-03","Gas","GAS"," 36","0.00262118","2.13425e+01"
"2017-11-21-20-03","Veritaseum","VERI"," 37","0.01111470","9.04995e+01"
"2017-11-21-20-03","Factom","FCT"," 38","0.00257377","2.09564e+01"
"2017-11-21-20-03","Golem","GNT"," 39","0.00002693","2.19236e-01"
"2017-11-21-20-03","SALT","SALT"," 40","0.00045086","3.67101e+00"
"2017-11-21-20-03","Vertcoin","VTC"," 41","0.00051040","4.15579e+00"
"2017-11-21-20-03","MonaCoin","MONA"," 42","0.00037259","3.03374e+00"
"2017-11-21-20-03","PIVX","PIVX"," 43","0.00036684","2.98696e+00"
"2017-11-21-20-03","Binance Coin","BNB"," 44","0.00019514","1.58891e+00"
"2017-11-21-20-03","Dogecoin","DOGE"," 45","0.00000017","1.39081e-03"
"2017-11-21-20-03","Basic Attention Token","BAT"," 46","0.00001906","1.55155e-01"
"2017-11-21-20-03","Kyber Network","KNC"," 47","0.00013372","1.08880e+00"
"2017-11-21-20-03","Byteball Bytes","GBYTE"," 48","0.02774950","2.25945e+02"
"2017-11-21-20-03","DigixDAO","DGD"," 49","0.00892937","7.27056e+01"
"2017-11-21-20-03","Nxt","NXT"," 50","0.00001780","1.44957e-01"
"2017-11-21-20-03","BitcoinDark","BTCD"," 51","0.01376680","1.12094e+02"
"2017-11-21-20-03","Aeternity","AE"," 52","0.00007469","6.08134e-01"
"2017-11-21-20-03","Siacoin","SC"," 53","0.00000056","4.56198e-03"
"2017-11-21-20-03","TRON","TRX"," 54","0.00000026","2.13509e-03"
"2017-11-21-20-03","Metaverse ETP","ETP"," 55","0.00044775","3.64571e+00"
"2017-11-21-20-03","Raiden Network Token","RDN"," 56","0.00032621","2.65609e+00"
"2017-11-21-20-03","Ethos","ETHOS"," 57","0.00020790","1.69276e+00"
"2017-11-21-20-03","GameCredits","GAME"," 58","0.00024061","1.95913e+00"
"2017-11-21-20-03","Status","SNT"," 59","0.00000437","3.56029e-02"
"2017-11-21-20-03","Iconomi","ICN"," 60","0.00015003","1.22156e+00"
"2017-11-21-20-03","Pura","PURA"," 61","0.00008380","6.82311e-01"
"2017-11-21-20-03","Walton","WTC"," 62","0.00057297","4.66533e+00"
"2017-11-21-20-03","ZCoin","XZC"," 63","0.00400133","3.25800e+01"
"2017-11-21-20-03","Syscoin","SYS"," 64","0.00002567","2.09031e-01"
"2017-11-21-20-03","Bytom","BTM"," 65","0.00001368","1.11380e-01"
"2017-11-21-20-03","Civic","CVC"," 66","0.00003748","3.05154e-01"
"2017-11-21-20-03","Blocknet","BLOCK"," 67","0.00253257","2.06209e+01"
"2017-11-21-20-03","0x","ZRX"," 68","0.00002411","1.96311e-01"
"2017-11-21-20-03","GXShares","GXS"," 69","0.00028101","2.28805e+00"
"2017-11-21-20-03","Lykke","LKK"," 70","0.00004257","3.46638e-01"
"2017-11-21-20-03","Bancor","BNT"," 71","0.00026167","2.13057e+00"
"2017-11-21-20-03","Metal","MTL"," 72","0.00055144","4.48998e+00"
"2017-11-21-20-03","DigiByte","DGB"," 73","0.00000112","9.14274e-03"
"2017-11-21-20-03","Verge","XVG"," 74","0.00000074","6.01885e-03"
"2017-11-21-20-03","FunFair","FUN"," 75","0.00000259","2.10952e-02"
"2017-11-21-20-03","Gnosis","GNO"," 76","0.00845199","6.88186e+01"
"2017-11-21-20-03","Storj","STORJ"," 77","0.00008845","7.20158e-01"
"2017-11-21-20-03","SingularDTV","SNGLS"," 78","0.00001542","1.25563e-01"
"2017-11-21-20-03","VeChain","VEN"," 79","0.00003313","2.69775e-01"
"2017-11-21-20-03","B3Coin","B3"," 80","0.00000003","2.45193e-04"
"2017-11-21-20-03","ATMChain","ATM"," 81","0.00000268","2.17930e-02"
"2017-11-21-20-03","Particl","PART"," 82","0.00102221","8.32314e+00"
"2017-11-21-20-03","AdEx","ADX"," 83","0.00013053","1.06280e+00"
"2017-11-21-20-03","PayPie","PPP"," 84","0.00008705","7.08756e-01"
"2017-11-21-20-03","Cryptonex","CNX"," 85","0.00015823","1.28832e+00"
"2017-11-21-20-03","Aragon","ANT"," 86","0.00021744","1.77044e+00"
"2017-11-21-20-03","KuCoin Shares","KCS"," 87","0.00007749","6.30984e-01"
"2017-11-21-20-03","MobileGo","MGO"," 88","0.00007106","5.78592e-01"
"2017-11-21-20-03","NAV Coin","NAV"," 89","0.00011139","9.07005e-01"
"2017-11-21-20-03","Nexus","NXS"," 90","0.00012641","1.02923e+00"
"2017-11-21-20-03","I/O Coin","IOC"," 91","0.00040847","3.32588e+00"
"2017-11-21-20-03","ZenCash","ZEN"," 92","0.00271880","2.21373e+01"
"2017-11-21-20-03","ChainLink","LINK"," 93","0.00001892","1.54054e-01"
"2017-11-21-20-03","Edgeless","EDG"," 94","0.00008013","6.52424e-01"
"2017-11-21-20-03","Asch","XAS"," 95","0.00007184","5.84916e-01"
"2017-11-21-20-03","FairCoin","FAIR"," 96","0.00012200","9.93360e-01"
"2017-11-21-20-03","Monaco","MCO"," 97","0.00065333","5.31963e+00"
"2017-11-21-20-03","Ubiq","UBQ"," 98","0.00016330","1.32966e+00"
"2017-11-21-20-03","Loopring","LRC"," 99","0.00002164","1.76222e-01"
"2017-11-21-20-03","Streamr DATAcoin","DATA","100","0.00000912","7.42358e-02"
